"Reference","Qty","Value","Description","Footprint","LCSC"
"C1","1","100nF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1","1","RDY","Light emitting diode","LED_THT:LED_D3.0mm",""
"D2","1","SYNC","Light emitting diode","LED_THT:LED_D3.0mm",""
"J1","1","IO","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5","5","1k","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R6,R7,R8","3","330","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"SW1","1","CYCLE/INSTR","Switch, dual pole double throw, separate symbols","6502 Parts:XKB5858","XKB5858-Z"
"SW2","1","RUN/STOP","Switch, dual pole double throw, separate symbols","6502 Parts:XKB5858","XKB5858-Z"
"SW3","1","STEP","Switch, dual pole double throw, separate symbols","6502 Parts:XKB5858","XKB5858-W"
"U1","1","74HC74","Dual D Flip-flop, Set & Reset","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
