"Reference","Qty","Value","Description","Footprint","Digikey"
"D1","1","PB7","Light emitting diode","LED_THT:LED_D3.0mm",""
"D2","1","PB6","Light emitting diode","LED_THT:LED_D3.0mm",""
"D3","1","PB5","Light emitting diode","LED_THT:LED_D3.0mm",""
"D4","1","PB4","Light emitting diode","LED_THT:LED_D3.0mm",""
"D5","1","PB3","Light emitting diode","LED_THT:LED_D3.0mm",""
"D6","1","PB2","Light emitting diode","LED_THT:LED_D3.0mm",""
"D7","1","PB1","Light emitting diode","LED_THT:LED_D3.0mm",""
"D8","1","PB0","Light emitting diode","LED_THT:LED_D3.0mm",""
"J1","1","PORT A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J2","1","PORT B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","1K","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R9,R10,R11,R12,R13,R14,R15,R16","8","330","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"SW1","1","PA7","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW2","1","PA6","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW3","1","PA5","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW4","1","PA4","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW5","1","PA3","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW6","1","PA2","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW7","1","PA1","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
"SW8","1","PA0","Push button switch, generic, two pins","Button_Switch_THT:SW_PUSH_6mm","2223-TS02-66-50-BK-160-LCR-D-ND"
