"Reference","Qty","Value","Description","Footprint","Digikey"
"J1","1","JOYSTICK A","9-pin D-SUB connector, pins (male), Mounting Hole","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1481-ND"
"J2","1","JOYSTICK B","9-pin D-SUB connector, pins (male), Mounting Hole","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1481-ND"
"J3","1","JOYSTICK A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J4","1","JOYSTICK B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J5","1","PORT A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J6","1","PORT B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J7","1","KEYBOARD","25-pin D-SUB connector, pins (male), Mounting Hole","Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","609-1505-ND"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","16","1K","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"SW1","1","`","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW2","1","1","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW3","1","2","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW4","1","3","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW5","1","4","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW6","1","5","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW7","1","6","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW8","1","7","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW9","1","8","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW10","1","9","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW11","1","0","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW12","1","-","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW13","1","=","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW14","1","BACKSPACE","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_2.00u_PCB",""
"SW15","1","ESCAPE","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW16","1","TAB","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.50u_PCB",""
"SW17","1","Q","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW18","1","W","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW19","1","E","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW20","1","R","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW21","1","T","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW22","1","Y","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW23","1","U","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW24","1","I","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW25","1","O","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW26","1","P","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW27","1","[","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW28","1","]","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW29","1","\","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.50u_PCB",""
"SW30","1","INSERT","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW31","1","CAPS LOCK","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.75u_PCB",""
"SW32","1","A","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW33","1","S","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW34","1","D","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW35","1","F","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW36","1","G","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW37","1","H","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW38","1","J","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW39","1","K","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW40","1","L","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW41","1",";","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
"SW42","1","'","Push button switch, generic, two pins","6502 Parts:SW_Cherry_MX_1.00u_PCB",""
