"Reference","Qty","Value","Description","Footprint","LCSC"
"C1,C2,C3","3","100nF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","C107114"
"C4,C5","2","22pF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","C107114"
"J1","1","PORT A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J2","1","PORT B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J3","1","PS/2","6-pin Mini-DIN connector","6502 Parts:KMDGX-6S-BS",""
"J4","1","JOYSTICK","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9","9","1K","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"U1","1","MT8808","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"U2","1","ATmega328","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28","Package_DIP:DIP-28_W7.62mm_Socket_LongPads",""
"Y1","1","16 MHz","Two pin crystal","Crystal:Crystal_HC49-U_Vertical",""
