"Reference","Qty","Value","Description","Footprint","LCSC"
"C1,C2,C3,C4,C5,C6,C7","7","100nF","","Capacitor_SMD:C_0805_2012Metric","C49678"
"J2","1","LATCH EN","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"J4","1","BANK ADDR","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"R1,R2","2","10k","Resistor","Resistor_SMD:R_0805_2012Metric","C17414"
"U1","1","AS6C4008","","Package_DIP:DIP-32_W15.24mm_Socket_LongPads",""
"U2","1","74HC573","8-bit Latch 3-state outputs","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","C5608"
"U3,U6","2","74HC00","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5586"
"U4","1","74HC21","Dual 4-input AND","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C75398"
"U5","1","74HC30","8-input NAND","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C19818870"
"U7","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602"
