"Reference","Qty","Value","Description","Footprint","LCSC","Digikey"
"C1,C6,C8","3","100nF","","Capacitor_SMD:C_0805_2012Metric","C49678",""
"C2,C3,C4,C5","4","1uF","","Capacitor_SMD:C_0805_2012Metric","C28323",""
"C7","1","22pF","","Capacitor_SMD:C_0805_2012Metric","C1804",""
"D1","1","D_Schottky","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","",""
"J2","1","DB9 FEMALE (DCE)","9-pin D-SUB connector, socket (female), Mounting Hole","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","","609-1487-ND"
"J3","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","",""
"J4","1","CTS EN","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"R1","1","1M","Resistor","Resistor_SMD:R_0805_2012Metric","C103906",""
"U1","1","MAX232","Dual RS232 driver/receiver, 5V supply, 120kb/s, 0C-70C","6502 Parts:MAX232D","C59824",""
"U2","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602",""
"U3","1","6551","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","",""
"Y1","1","1.8432 Mhz","","Crystal:Crystal_HC49-U_Vertical","",""
