"Reference","Value","Qty","Description","Footprint","Digikey","LCSC"
"C1,C2,C3,C4,C7,C8","100nF","6","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","","C49678"
"C5,C6","22pF","2","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","C107114"
"C9,C10","1uF","2","","Capacitor_SMD:C_0805_2012Metric","","C28323"
"D1","ACT","1","Light emitting diode","LED_SMD:LED_0805_2012Metric","","C2297"
"J1","ACT LED","1","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","",""
"J3","SPI","1","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","",""
"J4","SD CARD","1","","6502 Parts:10067847-001RLF","","C569097"
"J5","Conn_02x08_Odd_Even","1","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","",""
"R1,R2","330","2","Resistor","Resistor_SMD:R_0805_2012Metric","","C17630"
"R3,R4","1k","2","Resistor","Resistor_SMD:R_0805_2012Metric","","C17513"
"U1","TXS0108EPW","1","Bidirectional  level-shifting voltage translator, TSSOP-20","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","C17206"
"U2","ATmega328","1","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28","Package_DIP:DIP-28_W7.62mm_Socket_LongPads","",""
"U3","W25Q128JVS","1","128Mbit / 16MiB Serial Flash Memory, Standard/Dual/Quad SPI, 2.7-3.6V, SOIC-8","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","","C97521"
"U4","74HC138","1","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","C5602"
"U5","LP2985-3.3","1","150mA 16V Low-noise Low-dropout Regulator With Shutdown, 3.3V output voltage, SOT-23-5","Package_TO_SOT_SMD:SOT-23-5","","C95414"
"Y1","16 MHz","1","Two pin crystal","Crystal:Crystal_HC49-U_Vertical","3155-16M20P2/49US-ND",""
