"Reference","Qty","Value","Description","Footprint","LCSC"
"C1,C2,C3,C4,C5,C6","6","100nF","","Capacitor_SMD:C_0805_2012Metric","C49678"
"D1","1","D_Schottky","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"J2","1","VGA","15-pin D-SUB connector, socket (female), High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole","Connector_Dsub:DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm",""
"J3","1","INT Select","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J4","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"Q1","1","BSS138","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23","Package_TO_SOT_SMD:SOT-23","C78284"
"R1,R2,R4,R7","4","1K","Resistor","Resistor_SMD:R_0805_2012Metric","C17513"
"R3,R6","2","2.2K","Resistor","Resistor_SMD:R_0805_2012Metric","C17520"
"R5,R8","2","470","Resistor","Resistor_SMD:R_0805_2012Metric","C17710"
"R9","1","820","Resistor","Resistor_SMD:R_0805_2012Metric","C17837"
"R10","1","390","Resistor","Resistor_SMD:R_0805_2012Metric","C17655"
"R11,R12","2","22","Resistor","Resistor_SMD:R_0805_2012Metric","C17561"
"U1","1","SN74LVC4245APWR","Octal Bus Transceiver And 3.3-V To 5-V Shifter With 3-State Outputs","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","C7859"
"U2","1","74LVC245","Octal BUS Transceivers, 3-State outputs","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C6082"
"U3","1","Raspberry Pi Pico","","6502 Parts:Raspberry Pi Pico",""
"U4","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602"
"U5","1","74LVC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C6061"
