"Reference","Qty","Value","Description","Footprint","Mouser","Digikey","LCSC"
"C1,C2","2","20pF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","C105173"
"C3,C4,C5,C6,C7,C8,C9,C10","8","100nF","","Capacitor_SMD:C_0805_2012Metric","","","C49678"
"D1","1","D_Schottky","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","",""
"FB1","1","BLM41PG600SN1L","Ferrite bead","Inductor_SMD:L_1806_4516Metric","","","C85844"
"J1","1","VIDEO","RCA Connector","6502 Parts:SWITCHCRAFT_PJRAN1X1U04X","","https://www.digikey.com/en/products/detail/switchcraft-inc/PJRAN1X1U04X/969899",""
"J2","1","SERIAL","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","",""
"J3","1","INT Select","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"J5","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","","",""
"Q1","1","2N4401","Bipolar transistor symbol for simulation only, substrate tied to the emitter","Package_TO_SOT_THT:TO-92_HandSolder","","",""
"R1,R2","2","4.7k","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R3","1","470","Resistor","Resistor_SMD:R_0805_2012Metric","","","C17710"
"R4","1","75","Resistor","Resistor_SMD:R_0805_2012Metric","","","C17820"
"R5","1","1k","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"U1,U4","2","74HC157","Quad 2 to 1 line Multiplexer","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","","C6823"
"U2,U5","2","74HC166","Shift Register 8-bit, parallel load","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","","C473363"
"U3","1","ATmega1284-P","20MHz, 128kB Flash, 16kB SRAM, 4kB EEPROM, JTAG, DIP-40","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","",""
"U6","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","","C5602"
"VR1,VR2","2","10k","Potentiometer","6502 Parts:3386F-1-103LF","","",""
"Y1","1","14.31818 MHz","Two pin crystal","Crystal:Crystal_HC49-U_Vertical","774-MP107-E","",""
