"Reference","Qty","Value","Description","Footprint","Mouser","Digikey","LCSC"
"C1,C2","2","32pF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","C107114"
"C3,C4,C5,C6,C7,C8,C9,C10","8","100nF","","Capacitor_SMD:C_0805_2012Metric","","","C49678"
"D1","1","D_Schottky","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","",""
"FB1","1","BLM41PG600SN1L","Ferrite bead","Inductor_SMD:L_1806_4516Metric","","","C85844"
"J1","1","INT Select","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"J3","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","","",""
"J4","1","VIDEO","RCA Connector","6502 Parts:SWITCHCRAFT_PJRAN1X1U04X","","https://www.digikey.com/en/products/detail/switchcraft-inc/PJRAN1X1U04X/969899",""
"Q1","1","2N4401","Bipolar transistor symbol for simulation only, substrate tied to the emitter","Package_TO_SOT_THT:TO-92_HandSolder","","",""
"R1","1","470","Resistor","Resistor_SMD:R_0805_2012Metric","","","C17710"
"R2","1","75","Resistor","Resistor_SMD:R_0805_2012Metric","","","C17820"
"U1","1","TMS9918A","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","",""
"U2,U5,U6","3","74HCT574","8-bit Register, 3-state outputs","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","","C6001"
"U3,U4","2","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","","C5602"
"U7","1","AS6C62256","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","","",""
"U8","1","74HCT04","Hex Inverter","Package_SO:SO-14_3.9x8.65mm_P1.27mm","","","C672096"
"Y1","1","10.738635 MHz","Two pin crystal","Crystal:Crystal_HC49-U_Vertical","774-MP107-E","",""
